date,competition,weight,home_team,away_team,home_goals,away_goals,total_goals,goal_diff,result,btts,over_2_5,over_3_5,home_win,draw,away_win,neutral
2014-03-05,Friendly,0.1,Belgium,Ivory Coast,2,2,4,0,D,1,1,1,0,1,0,False
2014-03-05,Friendly,0.1,Bosnia and Herzegovina,Egypt,0,2,2,-2,A,0,0,0,0,0,1,True
2014-03-05,Friendly,0.1,Botswana,South Sudan,3,0,3,3,H,0,1,0,1,0,0,False
2014-03-05,Friendly,0.1,Bulgaria,Belarus,2,1,3,1,H,1,1,0,1,0,0,False
2014-03-05,Friendly,0.1,Burkina Faso,Comoros,1,1,2,0,D,1,0,0,0,1,0,True
2014-03-05,Friendly,0.1,Burundi,Rwanda,1,1,2,0,D,1,0,0,0,1,0,False
2014-03-05,Friendly,0.1,Colombia,Tunisia,1,1,2,0,D,1,0,0,0,1,0,True
2014-03-05,Friendly,0.1,Cyprus,Northern Ireland,0,0,0,0,D,0,0,0,0,1,0,False
2014-03-05,Friendly,0.1,Czech Republic,Norway,2,2,4,0,D,1,1,1,0,1,0,False
2014-03-05,Friendly,0.1,England,Denmark,1,0,1,1,H,0,0,0,1,0,0,False
2014-03-05,Friendly,0.1,France,Netherlands,2,0,2,2,H,0,0,0,1,0,0,False
2014-03-05,Friendly,0.1,Georgia,Liechtenstein,2,0,2,2,H,0,0,0,1,0,0,False
2014-03-05,Friendly,0.1,Germany,Chile,1,0,1,1,H,0,0,0,1,0,0,False
2014-03-05,Friendly,0.1,Gibraltar,Estonia,0,2,2,-2,A,0,0,0,0,0,1,False
2014-03-05,Friendly,0.1,Greece,South Korea,0,2,2,-2,A,0,0,0,0,0,1,False
2014-03-05,Friendly,0.1,Hungary,Finland,1,2,3,-1,A,1,1,0,0,0,1,False
2014-03-05,Friendly,0.1,India,Bangladesh,2,2,4,0,D,1,1,1,0,1,0,False
2014-03-05,Friendly,0.1,Iran,Guinea,1,2,3,-1,A,1,1,0,0,0,1,False
2014-03-05,AFC Asian Cup qualification,0.8,Iraq,China,3,1,4,2,H,1,1,1,1,0,0,True
2014-03-05,Friendly,0.1,Republic of Ireland,Serbia,1,2,3,-1,A,1,1,0,0,0,1,False
2014-03-05,Friendly,0.1,Israel,Slovakia,1,3,4,-2,A,1,1,1,0,0,1,False
2014-03-05,Friendly,0.1,Japan,New Zealand,4,2,6,2,H,1,1,1,1,0,0,False
2014-03-05,AFC Asian Cup qualification,0.8,Jordan,Syria,2,1,3,1,H,1,1,0,1,0,0,False
2014-03-05,Friendly,0.1,Kazakhstan,Lithuania,1,1,2,0,D,1,0,0,0,1,0,True
2014-03-05,Friendly,0.1,Kosovo,Haiti,0,0,0,0,D,0,0,0,0,1,0,False
2014-03-05,Friendly,0.1,Luxembourg,Cape Verde,0,0,0,0,D,0,0,0,0,1,0,False
